Accessible,Adjective,"['capable of being reached', 'capable of being read with comprehension', 'easily obtained', 'easy to get along with or talk to; friendly']"
Accommodation,Noun,"['making or becoming suitable; adjusting to circumstances', 'a settlement of differences', 'in the theories of Jean Piaget: the modification of internal representations in order to accommodate a changing knowledge of reality', 'living quarters provided for public convenience', 'the act of providing something (lodging or seat or food', '(physiology']"
Addiction,Noun,"['being abnormally tolerant to and dependent on something that is psychologically or physically habit-forming (especially alcohol or narcotic drugs', 'an abnormally strong craving', '(Roman law', 'as the award of a debtor to his creditor']"
Admirable,Adjective,"['deserving of the highest esteem or admiration', 'inspiring admiration or approval']"
A,d,v,e,r,t,i,s,i,n,g,N,o,u,n,a public promotion of some product or service,the business of drawing public attention to goods and services
A,d,v,e,r,t,i,s,i,n,g,V,e,r,b,call attention to,make publicity for; try to sell (a product
Amazement,Noun,['the feeling that accompanies something extremely surprising']
Assassination,Noun,"[""an attack intended to ruin someone's reputation"", 'murder of a public figure by surprise attack']"
P,o,s,t,u,r,e,N,o,u,n,the arrangement of the body and its limbs,characteristic way of bearing one's body,a rationalized mental attitude,capability in terms of personnel and materiel that affect the capacity to fight a war
P,o,s,t,u,r,e,V,e,r,b,behave affectedly or unnaturally in order to impress others,assume a posture as for artistic purposes
Pious,Adjective,['having or showing or expressing reverence for a deity']
